name,rating,reviews,address,city,state,zip_code,phone
Mr Szechuan,4.5,81,890 Taraval St,San Francisco,CA,94116.0,14157538788.0
El Chango Salteño,4.5,2,Avenida Santa Fe 380,Alberdi,X,5000.0,543514252557.0
Che Fico Alimentari,4.5,3,834 Divisadero St,San Francisco,CA,94117.0,14154166980.0
Tuna Kahuna,5.0,64,1117 Burlingame Ave,Burlingame,CA,94010.0,16506366868.0
New England Lobster Market & Eatery,4.5,3084,824 Cowan Rd,Burlingame,CA,94010.0,16504431543.0
Roma Antica,4.5,408,3242 Scott St,San Francisco,CA,94123.0,14158964002.0
Acai R,5.0,45,1130 Ocean Ave,San Francisco,CA,94112.0,14158329875.0
Hollywood Cafe on Fillmore,5.0,14,1545 Fillmore St,San Francisco,CA,94115.0,14158293159.0
Hog Island Oyster Co,4.5,5618,1 Ferry Bldg,San Francisco,CA,94111.0,14153917117.0
Nopa,4.0,4925,560 Divisadero St,San Francisco,CA,94117.0,14158648643.0
The Italian Homemade Company,4.5,793,1919 Union St,San Francisco,CA,94123.0,14156559325.0
Nice Catch SF,5.0,2,708 Kearny St,San Francisco,CA,94108.0,17143985502.0
Breadbelly,4.5,100,1408 Clement St,San Francisco,CA,94118.0,
The Italian Homemade Company,4.5,1281,716 Columbus Ave,San Francisco,CA,94133.0,14157128874.0
Uncle Tetsu,3.5,270,72 Hillsdale Mall,San Mateo,CA,94403.0,16504370399.0
Half Moon Bay Brewing Company,3.5,1736,390 Capistrano Rd,Half Moon Bay,CA,94019.0,16507282739.0
Breakers Cafe,3.5,194,3465 Hwy 1,Stinson Beach,CA,94970.0,14158682002.0
Barrel Head Brewhouse,4.0,510,1785 Fulton St,San Francisco,CA,94117.0,14154166989.0
Magnolia Dogpatch,4.0,51,2505 3rd St,San Francisco,CA,94107.0,14158647468.0
State Bird Provisions,4.0,2607,1529 Fillmore St,San Francisco,CA,94115.0,14157951272.0
Isla Vida,4.5,133,1325 Fillmore St,San Francisco,CA,94115.0,14156785171.0
Klatch Coffee,4.5,11,1452 Franklin St,San Francisco,CA,94109.0,
Trapeze,4.0,404,266 Lorton Ave,Burlingame,CA,94010.0,16503444242.0
Sugarhill Kitchen,4.0,73,1449 Lombard St,San Francisco,CA,94123.0,14152922368.0
Tasty Pot,4.0,408,815 Clement St,San Francisco,CA,94118.0,14156663888.0
Cheese Board Pizza,4.5,5081,1512 Shattuck Ave,Berkeley,CA,94709.0,15105493183.0
Back Room,4.5,33,4601 Geary Blvd,San Francisco,CA,94118.0,14159336295.0
Ten Seconds,4.5,14,145 W Joaquin Ave,San Leandro,CA,94577.0,15106181768.0
The Morris,4.5,212,2501 Mariposa St,San Francisco,CA,94110.0,14156128480.0
6th and B,4.0,185,452 Balboa St,San Francisco,CA,94118.0,14157539138.0
Drake's Dealership,4.0,1617,2325 Broadway Auto Row,Oakland,CA,94612.0,15105682739.0
State Room,4.0,363,1132 4th St,San Rafael,CA,94901.0,14152957929.0
Hideaway Cafe,5.0,1,850 Jones St,San Francisco,CA,94109.0,14154566786.0
Mini Fish,3.5,25,200 6th Ave,San Francisco,CA,94118.0,14157026221.0
b&b - Banh Mi & Boba,4.5,95,1634 Irving St,San Francisco,CA,94122.0,14158007001.0
Vixi,4.0,180,3611 California St,San Francisco,CA,94118.0,14158424921.0
Saucy Asian,4.0,257,3801 17th St,San Francisco,CA,94114.0,14158345555.0
Hot Sauce and Panko,4.5,1048,1468 Hyde St,San Francisco,CA,94109.0,14153591908.0
Sunset Reservoir Brewing Company,3.5,586,1735 Noriega St,San Francisco,CA,94122.0,14155718452.0
Limoncello,5.0,664,1400 Sutter St,San Francisco,CA,94109.0,14156386361.0
Rustic Bakery,4.0,396,2017 Larkspur Landing Cir,Larkspur,CA,94939.0,14154619900.0
Cultivar San Francisco,4.5,104,2379 Chestnut St,San Francisco,CA,94123.0,14159624200.0
Hammertime,4.0,43,1735 Polk St,San Francisco,CA,94109.0,
Parkside Cafe,3.0,575,43 Arenal Ave,Stinson Beach,CA,94970.0,14158681272.0
Poke Kitchen,5.0,6,13515 E 14th St,San Leandro,CA,94578.0,15104888283.0
La Fusión,4.5,1087,475 Pine St,San Francisco,CA,94104.0,14157810894.0
Belotti Bottega,4.5,69,4001B Piedmont Ave,Oakland,CA,94611.0,15103507619.0
The Game Parlour,4.5,177,1342 Irving St,San Francisco,CA,94122.0,14155718569.0
The Beach Chalet Brewery & Restaurant,3.0,2635,1000 Great Hwy,San Francisco,CA,94121.0,14153868439.0
Yummy Dumpling,4.5,105,1708 Irving St,San Francisco,CA,94122.0,14157539308.0
Roma Antica,4.5,408,3242 Scott St,San Francisco,CA,94123.0,14158964002.0
Acai R,5.0,45,1130 Ocean Ave,San Francisco,CA,94112.0,14158329875.0
Hollywood Cafe on Fillmore,5.0,14,1545 Fillmore St,San Francisco,CA,94115.0,14158293159.0
Hog Island Oyster Co,4.5,5618,1 Ferry Bldg,San Francisco,CA,94111.0,14153917117.0
Nopa,4.0,4925,560 Divisadero St,San Francisco,CA,94117.0,14158648643.0
The Italian Homemade Company,4.5,793,1919 Union St,San Francisco,CA,94123.0,14156559325.0
Nice Catch SF,5.0,2,708 Kearny St,San Francisco,CA,94108.0,17143985502.0
Breadbelly,4.5,100,1408 Clement St,San Francisco,CA,94118.0,
The Italian Homemade Company,4.5,1281,716 Columbus Ave,San Francisco,CA,94133.0,14157128874.0
Uncle Tetsu,3.5,270,72 Hillsdale Mall,San Mateo,CA,94403.0,16504370399.0
Half Moon Bay Brewing Company,3.5,1736,390 Capistrano Rd,Half Moon Bay,CA,94019.0,16507282739.0
Breakers Cafe,3.5,194,3465 Hwy 1,Stinson Beach,CA,94970.0,14158682002.0
Barrel Head Brewhouse,4.0,510,1785 Fulton St,San Francisco,CA,94117.0,14154166989.0
Magnolia Dogpatch,4.0,51,2505 3rd St,San Francisco,CA,94107.0,14158647468.0
State Bird Provisions,4.0,2607,1529 Fillmore St,San Francisco,CA,94115.0,14157951272.0
Isla Vida,4.5,133,1325 Fillmore St,San Francisco,CA,94115.0,14156785171.0
Klatch Coffee,4.5,11,1452 Franklin St,San Francisco,CA,94109.0,
Trapeze,4.0,404,266 Lorton Ave,Burlingame,CA,94010.0,16503444242.0
Sugarhill Kitchen,4.0,73,1449 Lombard St,San Francisco,CA,94123.0,14152922368.0
Tasty Pot,4.0,408,815 Clement St,San Francisco,CA,94118.0,14156663888.0
Cheese Board Pizza,4.5,5081,1512 Shattuck Ave,Berkeley,CA,94709.0,15105493183.0
Back Room,4.5,33,4601 Geary Blvd,San Francisco,CA,94118.0,14159336295.0
Ten Seconds,4.5,14,145 W Joaquin Ave,San Leandro,CA,94577.0,15106181768.0
The Morris,4.5,212,2501 Mariposa St,San Francisco,CA,94110.0,14156128480.0
6th and B,4.0,185,452 Balboa St,San Francisco,CA,94118.0,14157539138.0
Drake's Dealership,4.0,1617,2325 Broadway Auto Row,Oakland,CA,94612.0,15105682739.0
State Room,4.0,363,1132 4th St,San Rafael,CA,94901.0,14152957929.0
Hideaway Cafe,5.0,1,850 Jones St,San Francisco,CA,94109.0,14154566786.0
Mini Fish,3.5,25,200 6th Ave,San Francisco,CA,94118.0,14157026221.0
b&b - Banh Mi & Boba,4.5,95,1634 Irving St,San Francisco,CA,94122.0,14158007001.0
Vixi,4.0,180,3611 California St,San Francisco,CA,94118.0,14158424921.0
Saucy Asian,4.0,257,3801 17th St,San Francisco,CA,94114.0,14158345555.0
Hot Sauce and Panko,4.5,1048,1468 Hyde St,San Francisco,CA,94109.0,14153591908.0
Sunset Reservoir Brewing Company,3.5,586,1735 Noriega St,San Francisco,CA,94122.0,14155718452.0
Limoncello,5.0,664,1400 Sutter St,San Francisco,CA,94109.0,14156386361.0
Rustic Bakery,4.0,396,2017 Larkspur Landing Cir,Larkspur,CA,94939.0,14154619900.0
Cultivar San Francisco,4.5,104,2379 Chestnut St,San Francisco,CA,94123.0,14159624200.0
Hammertime,4.0,43,1735 Polk St,San Francisco,CA,94109.0,
Parkside Cafe,3.0,575,43 Arenal Ave,Stinson Beach,CA,94970.0,14158681272.0
Poke Kitchen,5.0,6,13515 E 14th St,San Leandro,CA,94578.0,15104888283.0
La Fusión,4.5,1087,475 Pine St,San Francisco,CA,94104.0,14157810894.0
Belotti Bottega,4.5,69,4001B Piedmont Ave,Oakland,CA,94611.0,15103507619.0
The Game Parlour,4.5,177,1342 Irving St,San Francisco,CA,94122.0,14155718569.0
